cuisine,latitude,longitude
Barbecue,35.78,-80.79
Italian,41.87,12.57
French,46.59,2.0
American,38.0,-97.0
Chinese,35,103
Southwestern,34.05, -111.09
Mexican,23.63,-102.55
Southern,33.24,-83.44
Japanese,36.2,138.25
Indian,21.76,78.87
Thai,15.87,100.99
Cajun,30.39,-92.32
Spanish,40.41,-3.7
Cuban,21.11,-79.36
Mediterranean,33.49,35.4
German,51.18,9.68
Hawaiian,19.89,155.58
Greek,38.57,23.82
Portuguese,39.55,-7.8
English,52.88,-1.41
Irish,53.27,-7.7
Hungarian,47.04,19.15
Moroccan,31.6,-7.99
Swedish,60.93,15.06
