cuisine,Piquant,Sour,Salty,Sweet,Bitter,Meaty,Healthyness
Barbecue,0.18796252129471908,0.3270897785349234,0.4082867120954008,0.24333424190800704,0.3625790459965925,0.39664787052810935,0.91
Italian,0.0639552304777937,0.3596811408124599,0.37662433171963755,0.24743291938539008,0.3704864028625545,0.3166761102925687,0.44
French,0.04480891803278689,0.34186321311475315,0.3295135081967204,0.41410485245901524,0.34066406557376916,0.3606598032786876,0.30
American,0.12873484684406025,0.5135620977722755,0.4542108214727702,0.5637401531559365,0.48886355198019593,0.4286976794554471,0.72
Chinese,0.11763780760626409,0.3808742729306487,0.4543221476510072,0.24646800894854531,0.4202070469798659,0.3232689038031315,0.52
Southwestern,0.3948623924268508,0.489671428571429,0.4827882099827881,0.3441033562822701,0.4975618760757313,0.37851962134251227,0.71
Mexican,0.41410042710706235,0.39967562642369053,0.409927562642369,0.2295134681093366,0.40779105922551284,0.300452676537584,0.64
Southern & Soul Food,0.15733420398009917,0.49170820895522405,0.5371075870646763,0.5331720149253724,0.48424900497512413,0.4641388059701492,0.86
Japanese,0.05555666666666667,0.27223333333333327,0.4222233333333333,0.26111333333333336,0.38333666666666666,0.3999966666666666,0.22
Indian,0.19858793939393898,0.2702015757575758,0.18364206060606003,0.15829157575757474,0.21343799999999932,0.1846513939393933,0.36
Thai,0.18722589194699296,0.3076764525993887,0.30852813455657485,0.181285728848114,0.27998705402650337,0.19606330275229328,0.492
Spanish,0.23774191176470594,0.6225455882352942,0.42892941176470556,0.4791749999999998,0.44363382352941155,0.3799073529411764,0.52
Cuban,0.14999999999999997,0.6208250000000002,0.55833,0.5041775,0.6208350000000001,0.6250000000000001,0.63
Mediterranean,0.06753894736842103,0.6131515789473682,0.46052789473684186,0.37895421052631556,0.5350878947368423,0.40439210526315783,0.36
Cajun & Creole,0.2515220183486241,0.5665105504587156,0.495412844036697,0.4097949541284408,0.5068802752293577,0.4824160550458714,0.67
German,0.0303,0.5757545454545454,0.5555545454545456,0.6313090909090909,0.5151575757575758,0.45959393939393944,0.34
Hawaiian,0.06409615384615384,0.48718461538461544,0.46795000000000003,0.6025653846153847,0.4294961538461538,0.3782153846153846,0.57
Portuguese,0.25,0.9166500000000001,0.6666833333333333,0.5277666666666666,0.7777833333333334,0.4444333333333333,0.26
Greek,0.07833000000000002,0.5399950000000002,0.44832900000000003,0.3333379999999999,0.49833200000000005,0.3916709999999999,0.23
English,0.0864148148148148,0.4753037037037036,0.38889259259259257,0.6357962962962963,0.37037037037037035,0.37037777777777764,0.46
Irish,0.041664285714285716,0.6368964285714286,0.5654821428571427,0.48215,0.5952357142857144,0.45237142857142854,0.24
Moroccan,0.15276666666666666,0.40277499999999994,0.4861083333333333,0.34723333333333334,0.4999916666666666,0.44445,0.11
Hungarian,0.3333,0.5,0.58335,0.375,0.458325,0.33335000000000004,0.24
Swedish,0.0,0.5555666666666667,0.7222,0.5000333333333332,0.7222333333333334,0.7222333333333334,0.15
